DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2012-06-01,141.029,2012,6,55466.0,201442085.960376,4.8,228.524,8.2,206.6,0.16,121084.0,63350.0,33.283
2012-07-01,141.66899999999998,2012,7,55454.0,201434361.59993,4.6,228.59,8.2,206.2,0.16,121084.0,63350.0,33.283
2012-08-01,142.279,2012,8,55437.0,201503946.658442,4.6,229.918,8.1,205.5,0.13,121084.0,63350.0,33.283
2012-09-01,142.908,2012,9,55420.0,201622437.000035,4.5,231.015,7.8,206.6,0.14,121084.0,63350.0,33.283
2012-10-01,143.6,2012,10,55403.0,201721747.344093,4.9,231.638,7.8,205.5,0.16,121084.0,63350.0,33.283
2012-11-01,144.585,2012,11,55555.0,201770072.049884,4.6,231.249,7.7,205.6,0.16,121084.0,63350.0,33.283
2012-12-01,145.503,2012,12,55707.0,201889077.49231097,4.5,231.221,7.9,206.4,0.16,121084.0,63350.0,33.283
2013-01-01,146.827,2013,1,55859.0,201739926.713021,4.0,231.679,8.0,208.4,0.14,122459.0,65740.0,33.213
2013-02-01,147.785,2013,2,55877.333333333336,201879587.833252,4.1,232.937,7.7,209.1,0.15,122459.0,65740.0,33.213
2013-03-01,149.963,2013,3,55895.666666666664,202092974.712288,4.2,232.282,7.5,209.8,0.14,122459.0,65740.0,33.213
2013-04-01,151.519,2013,4,55914.0,202114604.53795,4.4,231.797,7.6,210.7,0.15,122459.0,65740.0,33.213
2013-05-01,152.85,2013,5,56033.333333333336,202300530.337311,4.6,231.893,7.5,209.5,0.11,122459.0,65740.0,33.213
2013-06-01,154.19899999999998,2013,6,56152.666666666664,202335339.614864,4.1,232.445,7.5,208.8,0.09,122459.0,65740.0,33.213
2013-07-01,155.60399999999998,2013,7,56272.0,202343929.264849,5.5,232.9,7.3,208.3,0.09,122459.0,65740.0,33.213
2013-08-01,156.965,2013,8,56395.333333333336,202433138.888136,5.5,233.456,7.2,208.9,0.08,122459.0,65740.0,33.213
2013-09-01,158.227,2013,9,56518.666666666664,202607857.442801,5.4,233.544,7.2,208.9,0.08,122459.0,65740.0,33.213
2013-10-01,159.24200000000002,2013,10,56642.0,202635928.413109,4.9,233.669,7.2,209.3,0.09,122459.0,65740.0,33.213
2013-11-01,160.07399999999998,2013,11,56543.0,202701720.34911,5.0,234.1,6.9,209.8,0.08,122459.0,65740.0,33.213
2013-12-01,160.994,2013,12,56444.0,202726176.172807,5.2,234.719,6.7,209.8,0.09,122459.0,65740.0,33.213
2014-01-01,161.92700000000002,2014,1,56345.0,202493411.868639,5.1,235.288,6.6,211.7,0.07,123229.0,64900.0,33.806
2014-02-01,162.526,2014,2,56552.666666666664,202561070.650782,5.3,235.547,6.7,212.7,0.07,123229.0,64900.0,33.806
2014-03-01,163.086,2014,3,56760.333333333336,202693607.013295,5.6,236.028,6.7,213.4,0.08,123229.0,64900.0,33.806
2014-04-01,163.393,2014,4,56968.0,202799483.716883,5.7,236.468,6.2,213.6,0.09,123229.0,64900.0,33.806
2014-05-01,163.66,2014,5,57157.333333333336,202923873.293004,5.2,236.918,6.3,214.3,0.09,123229.0,64900.0,33.806
2014-06-01,164.062,2014,6,57346.666666666664,203093194.09441105,5.7,237.231,6.1,214.5,0.1,123229.0,64900.0,33.806
2014-07-01,164.577,2014,7,57536.0,203116450.810818,6.2,237.498,6.2,214.8,0.09,123229.0,64900.0,33.806
2014-08-01,165.215,2014,8,57591.333333333336,203209765.041602,5.4,237.46,6.1,215.5,0.09,123229.0,64900.0,33.806
2014-09-01,165.905,2014,9,57646.666666666664,203253731.075518,5.4,237.477,5.9,215.7,0.09,123229.0,64900.0,33.806
2014-10-01,166.642,2014,10,57702.0,203283833.574695,5.3,237.43,5.7,215.9,0.09,123229.0,64900.0,33.806
2014-11-01,167.335,2014,11,57841.666666666664,203371703.641928,5.7,236.983,5.8,215.8,0.09,123229.0,64900.0,33.806
2014-12-01,168.05,2014,12,57981.333333333336,203426054.88517305,5.1,236.252,5.6,215.5,0.12,123229.0,64900.0,33.806
2015-01-01,168.634,2015,1,58121.0,203882371.279071,4.8,234.747,5.7,215.8,0.11,124587.0,68410.0,34.859
2015-02-01,169.13,2015,2,58206.0,203937741.558208,4.5,235.342,5.5,215.3,0.11,124587.0,68410.0,34.859
2015-03-01,169.8,2015,3,58291.0,204002981.996736,5.1,235.976,5.4,215.0,0.11,124587.0,68410.0,34.859
2015-04-01,170.298,2015,4,58376.0,204017514.634363,4.9,236.222,5.4,214.5,0.12,124587.0,68410.0,34.859
2015-05-01,170.88099999999997,2015,5,58412.666666666664,204232987.717287,5.0,237.001,5.6,213.7,0.12,124587.0,68410.0,34.859
2015-06-01,171.46900000000002,2015,6,58449.333333333336,204417752.572942,5.4,237.657,5.3,213.7,0.13,124587.0,68410.0,34.859
2015-07-01,172.13,2015,7,58486.0,204506088.881945,5.2,238.034,5.2,213.7,0.13,124587.0,68410.0,34.859
2015-08-01,172.937,2015,8,58480.666666666664,204556122.755438,5.0,238.033,5.1,213.3,0.14,124587.0,68410.0,34.859
2015-09-01,173.828,2015,9,58475.333333333336,204527761.662847,5.9,237.498,5.0,212.5,0.14,124587.0,68410.0,34.859
2015-10-01,174.792,2015,10,58470.0,204580177.077722,5.6,237.733,5.0,212.4,0.12,124587.0,68410.0,34.859
2015-11-01,175.739,2015,11,58548.0,204606894.698126,5.5,238.017,5.1,211.7,0.12,124587.0,68410.0,34.859
2015-12-01,176.543,2015,12,58626.0,204720548.387829,5.1,237.761,5.0,210.9,0.24,124587.0,68410.0,34.859
2016-01-01,177.274,2016,1,58704.0,205109771.430019,5.6,237.652,4.8,211.4,0.34,125819.0,70840.0,37.55
2016-02-01,177.649,2016,2,58731.666666666664,205162885.835179,5.5,237.336,4.9,211.3,0.38,125819.0,70840.0,37.55
2016-03-01,178.16400000000002,2016,3,58759.333333333336,205294868.071864,5.5,238.08,5.0,211.6,0.36,125819.0,70840.0,37.55
2016-04-01,178.767,2016,4,58787.0,205241855.30181,5.0,238.992,5.1,212.7,0.37,125819.0,70840.0,37.55
2016-05-01,179.43,2016,5,58886.0,205444475.592398,5.1,239.557,4.8,213.7,0.37,125819.0,70840.0,37.55
2016-06-01,180.082,2016,6,58985.0,205611840.100965,5.3,240.222,4.9,214.6,0.38,125819.0,70840.0,37.55
2016-07-01,180.832,2016,7,59084.0,205721546.247137,4.5,240.101,4.8,215.3,0.39,125819.0,70840.0,37.55
